seqname,samplename,species,seq,birdname,bandnumber,runname,overallrunname,collectiondate,time,area,site,microsite,sex,age,weight,freshness ,size_of_sample,urine,coccidiosis,captive,collector,ethanol?,captivity,coccidiosis_data
AG0320-094,RAIN29,kiwi,kiwi94,Tuft,Mt.Prn3,7,94,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,845,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-095,RAIN1,kiwi,kiwi95,Lahar,W.X1C,8,95,43580,,National Kiwi Hatchery,Rumpus-NKH,brooder bed box,NA,NA,543,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-096,RAIN34,kiwi,kiwi96,Hokey Pokey,Mt.Snz9,9,96,43588,,National Kiwi Hatchery,Brooder-NKH,bed box,NA,36,649,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-097,RAIN3,kiwi,kiwi97,Lahar,W.X1C,10,97,43581,,National Kiwi Hatchery,Rumpus-NKH,brooder bed box,NA,NA,558,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-098,RAIN27,kiwi,kiwi98,Basil,Mt.Sh43,11,98,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,1005,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-099,RAIN24,kiwi,kiwi99,Bennett,Mt.Chr6,12,99,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,1119,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-100,RAIN15,kiwi,kiwi100,Lilo,Tk.Hol8,13,100,43584,,National Kiwi Hatchery,Brooder-NKH,brooder bed box,NA,24,471,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-101,RAIN12,kiwi,kiwi101,Saracen,Pk.Tmo10,14,101,43584,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,1115,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-102,RAIN30,kiwi,kiwi102,Zelda,Mt.Snz8,15,102,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,808,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-103,RAIN32,kiwi,kiwi103,Guacamole,Pk.Tgo6,16,103,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,961,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-104,RAIN20,kiwi,kiwi104,Candie,Pk.Sap2,17,104,43585,,National Kiwi Hatchery,Brooder-NKH,bed box,NA,17,334,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-105,RAIN31,kiwi,kiwi105,Toffee Pop,Mt.Ts46,18,105,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,1002,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-106,RAIN10,kiwi,kiwi106,Dojo,Mt.Nor12,19,106,43584,,National Kiwi Hatchery,Rumpus-NKH,brooder bed box,female,75,1149,very fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-107,RAIN26,kiwi,kiwi107,Dojo,Mt.Nor12,20,107,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,1178,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-108,RAIN17,kiwi,kiwi108,Basil,Mt.Sh43,21,108,43585,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,1005,fresh,,,TRUE,TRUE,,yes,captive,positive
