samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:1109:23899:13516__kiwi2019__AG0320-738__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1113:11435:25741__kiwi2019__AG0320-739__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,,Alternaria,
M01895:175:000000000-CJJKT:1:1104:11513:9741__kiwi2019__AG0320-190__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Lecanorineae,Lecanoraceae,,,
M01895:175:000000000-CJJKT:1:1103:8810:5234__kiwi2019__AG0320-098__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Trechisporales,,Hydnodontaceae,,Trechispora,
M01895:175:000000000-CJJKT:1:1101:19756:13412__kiwi2019__AG0320-114__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,,
M01895:175:000000000-CJJKT:1:1105:22570:22434__kiwi2019__AG0320-504__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Amphisphaeriaceae,,,
M01895:175:000000000-CJJKT:1:1108:19658:11354__kiwi2019__AG0320-434__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Capnodiaceae,,,
M01895:175:000000000-CJJKT:1:1101:16025:8178__kiwi2019__AG0320-704__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:2107:22989:14249__kiwi2019__AG0320-744__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:11688:2999__kiwi2019__AG0320-696__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Sordariomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:2101:20201:16323__kiwi2019__AG0320-404__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,,,Curvibasidium,
M01895:175:000000000-CJJKT:1:2105:9741:13512__kiwi2019__AG0320-421__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Rhynchogastremataceae,,Papiliotrema,Papiliotrema anemochoreius
M01895:175:000000000-CJJKT:1:1114:7812:16410__kiwi2019__AG0320-702__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,
M01895:175:000000000-CJJKT:1:2105:17733:10996__kiwi2019__AG0320-114__ITS1F,Eukaryota,Fungi,,Mucoromycota,,,Mortierellales,,Mortierellaceae,,Mortierella,Mortierella hypsicladia
M01895:175:000000000-CJJKT:1:2110:24213:8003__kiwi2019__AG0320-387__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,Metschnikowiaceae,,Metschnikowia,
M01895:175:000000000-CJJKT:1:2108:12770:5321__kiwi2019__AG0320-513__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,
M01895:175:000000000-CJJKT:1:2104:7209:10681__kiwi2019__AG0320-416__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Rhynchogastremataceae,,Papiliotrema,
M01895:175:000000000-CJJKT:1:2102:18987:23417__kiwi2019__AG0320-664__ITS1F,Eukaryota,Fungi,Dikarya,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:9496:5932__kiwi2019__AG0320-276__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1103:18607:20506__kiwi2019__AG0320-200__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1106:2114:17840__kiwi2019__AG0320-241__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2110:14593:11363__kiwi2019__AG0320-680__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,,,,,
M01895:175:000000000-CJJKT:1:1102:9606:6884__kiwi2019__AG0320-776__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,,,,
M01895:175:000000000-CJJKT:1:2112:17283:2761__kiwi2019__AG0320-240__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:14709:21620__kiwi2019__AG0320-519__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Teratosphaeriaceae,,,
M01895:175:000000000-CJJKT:1:1112:11984:17656__kiwi2019__AG0320-201__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Massarineae,Didymosphaeriaceae,,Paraphaeosphaeria,Paraphaeosphaeria michotii
M01895:175:000000000-CJJKT:1:1106:8377:20809__kiwi2019__AG0320-529__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Aspergillus,
M01895:175:000000000-CJJKT:1:1108:6298:7562__kiwi2019__AG0320-771__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:12222:9270__kiwi2019__AG0320-307__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Protomycetaceae,,Protomyces,
M01895:175:000000000-CJJKT:1:1114:9271:23279__kiwi2019__AG0320-102__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,,Phaeosphaeria,
M01895:175:000000000-CJJKT:1:1104:26230:19588__kiwi2019__AG0320-108__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Leucosporidiales,,Leucosporidiaceae,,Leucosporidium,
M01895:175:000000000-CJJKT:1:1105:7808:6469__kiwi2019__AG0320-664__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Tremellaceae,,Tremella,
M01895:175:000000000-CJJKT:1:2101:13171:16475__kiwi2019__AG0320-046__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:17211:18126__kiwi2019__AG0320-641__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,,,,
M01895:175:000000000-CJJKT:1:1110:24300:4513__kiwi2019__AG0320-684__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2101:9692:19995__kiwi2019__AG0320-807__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,Phanerochaetaceae,,Phanerochaete,
M01895:175:000000000-CJJKT:1:1101:11268:11312__kiwi2019__AG0320-430__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Cystofilobasidiaceae,,Cystofilobasidium,Cystofilobasidium macerans
M01895:175:000000000-CJJKT:1:2106:8824:9328__kiwi2019__AG0320-735__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:1103:7366:9753__kiwi2019__AG0320-685__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Mycocaliciomycetidae,Mycocaliciales,,Mycocaliciaceae,,Mycocalicium,
M01895:175:000000000-CJJKT:1:1112:10523:19794__kiwi2019__AG0320-208__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2109:8430:7827__kiwi2019__AG0320-603__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Nectriaceae,,Fusarium,
M01895:175:000000000-CJJKT:1:1109:12213:4664__kiwi2019__AG0320-523__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2103:11779:6459__kiwi2019__AG0320-308__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Phaeotremellaceae,,Phaeotremella,
M01895:175:000000000-CJJKT:1:2104:18387:6956__kiwi2019__AG0320-775__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:5783:22346__kiwi2019__AG0320-693__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2113:7862:16993__kiwi2019__AG0320-239__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:2111:26185:11520__kiwi2019__AG0320-246__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1102:15452:24837__kiwi2019__AG0320-276__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Exobasidiomycetes,,Exobasidiales,,,,,
M01895:175:000000000-CJJKT:1:1111:12689:24383__kiwi2019__AG0320-177__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Orbiliomycetes,,Orbiliales,,Orbiliaceae,,,
M01895:175:000000000-CJJKT:1:1108:17788:6755__kiwi2019__AG0320-436__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,,,,
M01895:175:000000000-CJJKT:1:1113:24042:18664__kiwi2019__AG0320-244__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricostilbomycetes,,Agaricostilbales,,Agaricostilbaceae,,Sterigmatomyces,
M01895:175:000000000-CJJKT:1:2110:10075:16938__kiwi2019__AG0320-701__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Amphisphaeriaceae,,Seimatosporium,
M01895:175:000000000-CJJKT:1:1101:9478:19382__kiwi2019__AG0320-764__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Leucosporidiales,,Leucosporidiaceae,,Leucosporidium,
M01895:175:000000000-CJJKT:1:2109:9064:5931__kiwi2019__AG0320-053__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,Agaricomycetidae,Boletales,Suillineae,Rhizopogonaceae,,Rhizopogon,
M01895:175:000000000-CJJKT:1:1102:16142:7595__kiwi2019__AG0320-597__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Protomycetaceae,,Protomyces,
M01895:175:000000000-CJJKT:1:2103:16681:18600__kiwi2019__AG0320-047__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2113:17193:19482__kiwi2019__AG0320-701__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,
M01895:175:000000000-CJJKT:1:1109:11985:13396__kiwi2019__AG0320-426__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Leucosporidiales,,Leucosporidiaceae,,Leucosporidium,
