samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:2106:11794:22123__kiwi2019__AG0320-282__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2111:24374:8148__kiwi2019__AG0320-627__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Cystobasidiomycetes,,Erythrobasidiales,,Erythrobasidiaceae,,Bannoa,
M01895:175:000000000-CJJKT:1:1107:16815:25502__kiwi2019__AG0320-677__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:12320:7120__kiwi2019__AG0320-795__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,Irpicaceae,,Flavodon,
M01895:175:000000000-CJJKT:1:2102:6219:5654__kiwi2019__AG0320-262__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Xylariaceae,,Ascotricha,
M01895:175:000000000-CJJKT:1:1110:13228:6510__kiwi2019__AG0320-436__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,Taphrina wiesneri
M01895:175:000000000-CJJKT:1:2108:3826:19033__kiwi2019__AG0320-180__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:19038:17063__kiwi2019__AG0320-683__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:6968:17739__kiwi2019__AG0320-030__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,,,,
M01895:175:000000000-CJJKT:1:1101:22838:19494__kiwi2019__AG0320-046__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,
M01895:175:000000000-CJJKT:1:1105:19875:8751__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:1108:18914:13507__kiwi2019__AG0320-273__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Cystobasidiomycetes,,Erythrobasidiales,,Erythrobasidiaceae,,Erythrobasidium,
M01895:175:000000000-CJJKT:1:1112:19708:4961__kiwi2019__AG0320-014__ITS1F,Eukaryota,Fungi,,Mucoromycota,,,Mortierellales,,Mortierellaceae,,Mortierella,
M01895:175:000000000-CJJKT:1:2102:9141:25994__kiwi2019__AG0320-030__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,,
M01895:175:000000000-CJJKT:1:2105:22680:13611__kiwi2019__AG0320-505__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1108:22898:5900__kiwi2019__AG0320-722__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Diatrypaceae,,Eutypa,Eutypa lata
M01895:175:000000000-CJJKT:1:1109:25470:17804__kiwi2019__AG0320-768__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2108:4902:12254__kiwi2019__AG0320-469__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1101:22484:15463__kiwi2019__AG0320-279__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,,
M01895:175:000000000-CJJKT:1:1104:18585:8638__kiwi2019__AG0320-675__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Phaeotremellaceae,,Phaeotremella,
M01895:175:000000000-CJJKT:1:1108:5977:20601__kiwi2019__AG0320-025__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,,Trichosphaeriales,,Trichosphaeriaceae,,Nigrospora,
M01895:175:000000000-CJJKT:1:2104:23368:22556__kiwi2019__AG0320-504__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:14001:9704__kiwi2019__AG0320-701__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Corticiales,,Corticiaceae,,Peniophorella,Peniophorella pertenuis
M01895:175:000000000-CJJKT:1:2114:19342:23663__kiwi2019__AG0320-780__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:1102:26457:8445__kiwi2019__AG0320-688__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,,,,
M01895:175:000000000-CJJKT:1:1106:16718:16389__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,
M01895:175:000000000-CJJKT:1:1112:13121:12661__kiwi2019__AG0320-244__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,,,,
M01895:175:000000000-CJJKT:1:1112:17464:9052__kiwi2019__AG0320-618__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycetes,,Ustilaginales,,Ustilaginaceae,,Farysia,
M01895:175:000000000-CJJKT:1:2103:16872:22595__kiwi2019__AG0320-528__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2109:18851:2891__kiwi2019__AG0320-275__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Rhynchogastremataceae,,Papiliotrema,Papiliotrema flavescens
M01895:175:000000000-CJJKT:1:1101:11497:5470__kiwi2019__AG0320-094__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,,
M01895:175:000000000-CJJKT:1:1114:21454:21486__kiwi2019__AG0320-431__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:11159:4345__kiwi2019__AG0320-738__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleraceae,,Fonsecazyma,Fonsecazyma betulae
M01895:175:000000000-CJJKT:1:2110:17741:12634__kiwi2019__AG0320-748__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Leucosporidiales,,Leucosporidiaceae,,Leucosporidium,Leucosporidium fragarium
M01895:175:000000000-CJJKT:1:1103:3199:18162__kiwi2019__AG0320-162__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,,Sclerostagonospora,
M01895:175:000000000-CJJKT:1:1105:18045:10507__kiwi2019__AG0320-525__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2103:12150:8058__kiwi2019__AG0320-190__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:16672:22037__kiwi2019__AG0320-277__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2107:22208:9087__kiwi2019__AG0320-690__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Amphisphaeriaceae,,Seimatosporium,
M01895:175:000000000-CJJKT:1:1101:8301:10586__kiwi2019__AG0320-183__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Myriangiales,,Elsinoaceae,,Elsinoe,
M01895:175:000000000-CJJKT:1:1102:9533:23503__kiwi2019__AG0320-592__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Exobasidiomycetes,,Entylomatales,,,,Tilletiopsis,
M01895:175:000000000-CJJKT:1:1107:20574:24056__kiwi2019__AG0320-506__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1111:19966:5300__kiwi2019__AG0320-769__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Teratosphaeriaceae,,,
M01895:175:000000000-CJJKT:1:2103:17049:22276__kiwi2019__AG0320-272__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2110:13275:6957__kiwi2019__AG0320-047__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,,,,,,
